YahooSymbol,Code,Company,Sector,is_reit
14D.AX,14D,1414 DEGREES LIMITED,Capital Goods,False
29M.AX,29M,29METALS LIMITED,Materials,False
T3D.AX,T3D,333D LIMITED,Commercial & Professional Services,False
TDO.AX,TDO,3D ENERGI LIMITED,Energy,False
3PL.AX,3PL,3P LEARNING LIMITED..,Consumer Services,False
4DX.AX,4DX,4DMEDICAL LIMITED,Health Care Equipment & Services,False
4DS.AX,4DS,4DS MEMORY LIMITED,Semiconductors & Semiconductor Equipment,False
5EA.AX,5EA,5E ADVANCED MATERIALS INC.,Materials,False
5GN.AX,5GN,5G NETWORKS LIMITED.,Software & Services,False
6KA.AX,6KA,"6K ADDITIVE, INC.",Materials,False
88E.AX,88E,88 ENERGY LIMITED,Energy,False
8CO.AX,8CO,8COMMON LIMITED,Software & Services,False
8IH.AX,8IH,8I HOLDINGS LTD,Financial Services,False
ABX.AX,ABX,ABX GROUP LIMITED,Materials,False
AKG.AX,AKG,ACADEMIES AUSTRALASIA GROUP LIMITED,Consumer Services,False
AX8.AX,AX8,ACCELERATE RESOURCES LIMITED,Materials,False
AX1.AX,AX1,ACCENT GROUP LIMITED,Consumer Discretionary Distribution & Retail,False
ACS.AX,ACS,ACCENT RESOURCES NL,Materials,False
ADC.AX,ADC,ACDC METALS LTD,Materials,False
ACF.AX,ACF,ACROW LIMITED,Capital Goods,False
ACR.AX,ACR,ACRUX LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
ACW.AX,ACW,ACTINOGEN MEDICAL LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
ATV.AX,ATV,ACTIVEPORT GROUP LTD,Software & Services,False
AIV.AX,AIV,ACTIVEX LIMITED,Materials,False
ACU.AX,ACU,ACUMENTIS GROUP LIMITED,Real Estate Management & Development,False
ACE.AX,ACE,ACUSENSUS LIMITED.,Software & Services,False
ADH.AX,ADH,ADAIRS LIMITED,Consumer Discretionary Distribution & Retail,False
1AD.AX,1AD,ADALTA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
ADD.AX,ADD,ADAVALE RESOURCES LIMITED,Energy,False
ADG.AX,ADG,ADELONG GOLD LIMITED,Materials,False
AHE.AX,AHE,ADHERIS HEALTH LIMITED,Health Care Equipment & Services,False
ADR.AX,ADR,ADHERIUM LIMITED,Health Care Equipment & Services,False
AI1.AX,AI1,ADISYN LTD,Software & Services,False
ADY.AX,ADY,ADMIRALTY RESOURCES NL.,Materials,False
AD1.AX,AD1,ADNEO LIMITED,Media & Entertainment,False
ABY.AX,ABY,ADORE BEAUTY GROUP LIMITED,Consumer Discretionary Distribution & Retail,False
AHL.AX,AHL,ADRAD HOLDINGS LIMITED,Automobiles & Components,False
ADS.AX,ADS,ADSLOT LTD.,Software & Services,False
AVM.AX,AVM,ADVANCE METALS LIMITED,Materials,False
ANO.AX,ANO,ADVANCE ZINCTEK LIMITED,Materials,False
ABV.AX,ABV,ADVANCED BRAKING TECHNOLOGY LTD,Automobiles & Components,False
AEM.AX,AEM,ADVANCED ENERGY MINERALS LTD,Materials,False
AIH.AX,AIH,ADVANCED INNERGY HOLDINGS LIMITED,Capital Goods,False
AV1.AX,AV1,ADVERITAS LIMITED,Software & Services,False
ADX.AX,ADX,ADX ENERGY LTD,Energy,False
AER.AX,AER,AEERIS LTD,Media & Entertainment,False
AEI.AX,AEI,AERIS ENVIRONMENTAL LTD,Commercial & Professional Services,False
AIS.AX,AIS,AERIS RESOURCES LIMITED,Materials,False
AMX.AX,AMX,AEROMETREX LIMITED,Commercial & Professional Services,False
AFL.AX,AFL,AF LEGAL GROUP LTD,Commercial & Professional Services,False
A1G.AX,A1G,AFRICAN GOLD LTD.,Materials,False
AFP.AX,AFP,AFT PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
AGL.AX,AGL,AGL ENERGY LIMITED.,Utilities,False
AMN.AX,AMN,AGRIMIN LIMITED,Materials,False
AGR.AX,AGR,AGUIA RESOURCES LIMITED,Materials,False
AIM.AX,AIM,AI-MEDIA TECHNOLOGIES LIMITED,Software & Services,False
A1M.AX,A1M,AIC MINES LIMITED,Materials,False
AGI.AX,AGI,AINSWORTH GAME TECHNOLOGY LIMITED,Consumer Services,False
AIZ.AX,AIZ,AIR NEW ZEALAND LIMITED,Transportation,False
ART.AX,ART,AIRTASKER LIMITED,Media & Entertainment,False
AJL.AX,AJL,AJ LUCAS GROUP LIMITED,Capital Goods,False
AKO.AX,AKO,AKORA RESOURCES LIMITED,Materials,False
AEG.AX,AEG,ALAND EQUITY GROUP LIMITED,Financial Services,False
AUQ.AX,AUQ,ALARA RESOURCES LIMITED,Materials,False
ALB.AX,ALB,ALBION RESOURCES LIMITED,Materials,False
ABR.AX,ABR,ALBRIGHT METALS LTD,Materials,False
ALY.AX,ALY,ALCHEMY RESOURCES LIMITED,Materials,False
ALC.AX,ALC,ALCIDION GROUP LIMITED,Health Care Equipment & Services,False
AAI.AX,AAI,ALCOA CORPORATION,Materials,False
ARN.AX,ARN,ALDORO RESOURCES LIMITED,Materials,False
AJX.AX,AJX,ALEXIUM INTERNATIONAL GROUP LIMITED,Materials,False
AAL.AX,AAL,ALFABS AUSTRALIA LIMITED,Capital Goods,False
1AI.AX,1AI,ALGORAE PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
AQI.AX,AQI,ALICANTO MINERALS LIMITED,Materials,False
AQX.AX,AQX,ALICE QUEEN LIMITED,Materials,False
ALK.AX,ALK,ALKANE RESOURCES LIMITED,Materials,False
AQZ.AX,AQZ,ALLIANCE AVIATION SERVICES LIMITED,Transportation,False
AXN.AX,AXN,ALLIANCE NICKEL LIMITED,Materials,False
AGE.AX,AGE,ALLIGATOR ENERGY LIMITED,Energy,False
ALM.AX,ALM,ALMA METALS LIMITED,Energy,False
AII.AX,AII,ALMONTY INDUSTRIES INC.,Materials,False
A4N.AX,A4N,ALPHA HPA LIMITED,Materials,False
ALQ.AX,ALQ,ALS LIMITED,Commercial & Professional Services,False
ALR.AX,ALR,ALTAIR MINERALS LIMITED,Materials,False
AZI.AX,AZI,ALTAMIN LIMITED,Materials,False
ATC.AX,ATC,ALTECH BATTERIES LTD,Materials,False
ATH.AX,ATH,ALTERITY THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
ATT.AX,ATT,ALTITUDE MINERALS LTD,Materials,False
ALV.AX,ALV,ALVO MINERALS LIMITED,Materials,False
AMA.AX,AMA,AMA GROUP LIMITED,Commercial & Professional Services,False
3DA.AX,3DA,AMAERO LTD,Capital Goods,False
AMO.AX,AMO,AMBERTECH LIMITED,Technology Hardware & Equipment,False
AMC.AX,AMC,AMCOR PLC,Materials,False
ARR.AX,ARR,AMERICAN RARE EARTHS LIMITED,Materials,False
AT4.AX,AT4,AMERICAN TUNGSTEN & ANTIMONY LTD,Materials,False
AMU.AX,AMU,AMERICAN URANIUM LTD,Materials,False
AW1.AX,AW1,AMERICAN WEST METALS LIMITED,Materials,False
AL3.AX,AL3,AML3D LIMITED,Capital Goods,False
AOV.AX,AOV,AMOTIV LIMITED,Automobiles & Components,False
AMP.AX,AMP,AMP LIMITED,Financial Services,False
ATX.AX,ATX,AMPLIA THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
